text,category,priority,sentiment
parking bahut zyada hai main road pe bahut dikkat ho rahi hai,public,Normal,Neutral
"bahut problem hai, pothole construction incomplete hai ghar ke paas bahut dikkat ho rahi hai",roads,Normal,Neutral
"bahut problem hai, crowd log bahut shor kar rahe hai market me bahut dikkat ho rahi hai",public,Normal,Neutral
"bahut problem hai, pipeline pipeline leak ho rahi hai main road pe please fix asap",water,High,Negative
"please help, jal tap se pani nahi aa raha society me jaldi solve kare",water,Normal,Negative
dp bar bar cut ho rahi hai near hospital,electricity,Normal,Neutral
"please help, parking illegal parking ho rahi hai area me",public,Normal,Neutral
complaint: awaz traffic jam ho raha hai near hospital jaldi solve kare,public,Normal,Negative
urgent: pothole kaam adhura hai society me jaldi solve kare,roads,High,Negative
"please help, pothole bade potholes hai ghar ke paas bahut dikkat ho rahi hai",roads,Normal,Negative
urgent: kooda bahut badbu aa rahi hai main road pe please fix asap,sanitation,High,Negative
"please help, pothole construction incomplete hai colony me please fix asap",roads,Normal,Neutral
"serious issue, water tap se pani nahi aa raha society me immediate action needed",water,Normal,Negative
water pressure bahut kam hai market me bahut dikkat ho rahi hai,water,Normal,Neutral
urgent: jal pressure bahut kam h market me bahut dikkat ho rahi h,water,High,Negative
"please help, traffic illegal parking ho rahi hai area me immediate action needed",public,Normal,Negative
urgent: street kaam adhura hai market me please fix asap,roads,High,Negative
"serious issue, electricity fluctuation ho raha hai colony me bahut dikkat ho rahi hai",electricity,High,Negative
urgent: power current nahi aa raha colony me please fix asap,electricity,High,Negative
"serious issue, supply supply band hai colony me",water,High,Negative
complaint: transformer shock lagne ka danger hai ghar ke paas please fix asap,electricity,High,Negative
"please help, road construction incomplete hai society me jaldi solve kare",roads,High,Negative
complaint: crowd traffic jam ho raha h near school jaldi solve kare,public,High,Negative
urgent: supply water issue hai market me jaldi solve kare,water,High,Negative
pothole road damage hai near hospital bahut dikkat ho rahi hai,roads,Normal,Negative
light current nahi aa raha society me please fix asap,electricity,Normal,Negative
light shock lagne ka danger h society me immediate action needed,electricity,High,Negative
jal tap se pani nahi aa raha area me,water,Normal,Negative
"serious issue, nala cleaning nahi hui colony me please fix asap",sanitation,High,Negative
urgent: dp fluctuation ho raha hai area me jaldi solve kare,electricity,High,Negative
parking bahut zyada h society me immediate action needed,public,Normal,Neutral
noise control nahi ho raha colony me,public,Normal,Neutral
"bahut problem hai, awaz disturbance create ho raha hai near hospital please fix asap",public,High,Negative
complaint: jal tap se pani nahi aa raha near hospital bahut dikkat ho rahi hai,water,Normal,Neutral
complaint: pani tap se pani nahi aa raha near hospital immediate action needed,water,High,Negative
"please help, waste area ganda h ghar ke paas immediate action needed",sanitation,Normal,Neutral
"serious issue, traffic traffic jam ho raha hai area me jaldi solve kare",public,Normal,Negative
"bahut problem hai, dp faat gaya main road pe immediate action needed",electricity,Normal,Neutral
"serious issue, crowd disturbance create ho raha hai market me bahut dikkat ho rahi hai",public,High,Negative
urgent: pipeline pressure bahut kam hai near hospital bahut dikkat ho rahi hai,water,High,Negative
pipeline ganda pani aa raha hai ghar ke paas bahut dikkat ho rahi hai,water,High,Negative
pipeline nahi aa raha market me immediate action needed,water,Normal,Neutral
complaint: water tap se pani nahi aa raha near school immediate action needed,water,Normal,Negative
"serious issue, voltage bar bar cut ho rahi h market me bahut dikkat ho rahi h",electricity,Normal,Negative
"serious issue, light nahi aa rahi colony me immediate action needed",electricity,High,Negative
"serious issue, traffic bahut zyada hai market me bahut dikkat ho rahi hai",public,High,Negative
tap supply band hai main road pe please fix asap,water,Normal,Neutral
urgent: garbage bahut badbu aa rahi hai colony me immediate action needed,sanitation,High,Negative
"bahut problem hai, transformer power failure ho gaya hai near hospital immediate action needed",electricity,Normal,Neutral
"serious issue, safai area ganda hai ghar ke paas bahut dikkat ho rahi hai",sanitation,Normal,Negative
"serious issue, traffic illegal parking ho rahi hai colony me jaldi solve kare",public,Normal,Negative
"please help, pothole construction incomplete hai society me bahut dikkat ho rahi hai",roads,Normal,Negative
complaint: parking illegal parking ho rahi hai near hospital please fix asap,public,Normal,Neutral
"serious issue, supply nahi aa raha near hospital",water,Normal,Negative
"serious issue, garbage drain block ho gaya hai society me",sanitation,High,Negative
"please help, supply supply band hai ghar ke paas jaldi solve kare",water,Normal,Neutral
urgent: sadak road damage hai market me jaldi solve kare,roads,High,Negative
